,counts,coupon_name
131,64,[규정외 재발급][증정] 온라인강의 결제 금액과 동일한 100% 페이백 쿠폰
132,64,[증정] 온라인강의 결제 금액과 동일한 100% 페이백 쿠폰	
133,64,[재발급][무료수강권] 이병률 작가의 나 자신과 여행하는 에세이 창작법(~12/4 23:59)
135,63,[무료수강권] AOP 수강권_이동근 PD님
137,63,[규정외재발급][증정] 온라인강의 결제 금액과 동일한 100% 페이백 쿠폰
151,50,[프로모션] 11월 1+1 쿠폰 이벤트
152,50,[규정외발급][증정] 온라인강의 결제 금액과 동일한 100% 페이백 쿠폰
154,49,[규정외 재발급][프로모션] 11월 1+1 쿠폰 이벤트
155,49,[6시간 쿠폰] 온라인 강의 30% 할인권(~12/11)
156,48,[20% 할인 쿠폰] 매력적인 모델링과 감각적인 렌더링으로 배우는 캐릭터 TD의 블렌더 테크닉 할인 쿠폰 (~12/11 23:59)
157,47,[30% 할인 쿠폰] [글로벌 DeFi 팀과 DeFi Deep Dive] 특별 할인 쿠폰
158,47,[15% 할인 쿠폰] [글로벌 DeFi 팀과 DeFi Deep Dive] 특별 할인 쿠폰
159,46,[분할결제1]올인원 패키지 : 문서의 신이 알려주는 보고서의 법칙 : 비즈니스 글쓰기의 모든 것
160,45,[분할결제1]한 번에 끝내는 프론트엔드 개발 초격차 패키지 Online
161,44,[분할결제2]한 번에 끝내는 프론트엔드 개발 초격차 패키지 Online
162,44,[분할결제2]올인원 패키지 : 문서의 신이 알려주는 보고서의 법칙 : 비즈니스 글쓰기의 모든 것
164,43,[분할결제1]The RED : 프론트엔드 개발자 김태곤
165,43,[분할결제2]The RED : 프론트엔드 개발자 김태곤
166,42,"[분할결제]올인원 패키지 : 25개 사례로 배우는 Anomaly Detection 알고리즘 구현과 실전 프로젝트_33,000원 결제"
167,40,"[분할결제]올인원 패키지 : 25개 사례로 배우는 Anomaly Detection 알고리즘 구현과 실전 프로젝트_193,000원 결제"
170,39,"[분할결제]초격차 패키지 : 한 번에 끝내는 퍼블릭 클라우드 데이터 파이프라인 구축_20,000원 결제"
171,38,"[분할결제2]초격차 패키지 : 한 번에 끝내는 퍼블릭 클라우드 데이터 파이프라인 구축_199,000원 결제"
172,38,[분할결제2]초격차 패키지 : 한 번에 끝내는 퍼블릭 클라우드 데이터 파이프라인 구축
173,38,[분할결제1]초격차 패키지 : 한 번에 끝내는 퍼블릭 클라우드 데이터 파이프라인 구축
174,38,[AI Explorer 2022] 데이터 사이언스 무료수강권
175,38,[무료수강권] 무료수강용
176,37,[럭키 룰렛] 업무생산성 강의 5만원 할인 쿠폰
177,37,패스트캠퍼스 온라인 강의 평생소장권
178,36,점핏×패스트캠퍼스 제휴 할인 COUPON
179,36,[결제쿠폰]올인원 패키지 : 7일만에 끝내는 마케팅 데이터 분석과 시각화 실무_차감금액 결제
180,36,[3일 한정] 온라인 강의 50% 즉시할인 쿠폰
181,36,[3만원 할인 쿠폰] 이병률 작가의 나 자신과 여행하는 에세이 창작법 할인 쿠폰 (~12/4 23:59)
182,34,[럭키 룰렛] 업무생산성 강의 1만원 할인 쿠폰
183,34,[럭키 룰렛] 업무생산성 강의 40% 할인 쿠폰
184,34,[20%할인쿠폰] 허들러스 유성민 강사 컨설팅 등록자 전용 할인 쿠폰 
186,34,[재발급] [고객님 전용] AWS 데이터 인프라 구축&엔지니어링 정주행 Kit 할인
187,34,[무료수강권] 이병률 작가의 나 자신과 여행하는 에세이 창작법(~12/4 23:59)
188,34,[72시간 한정] 온라인 강의 3만원 즉시할인 깜짝 쿠폰
189,33,[WELCOME] 온라인 강의 3만원 할인
190,33,[WELCOME] 온라인 강의 2만원 할인
191,33,[WELCOME] The Red 강의 3만원 할인
192,33,[WELCOME] The Red 강의 2만원 할인
193,33,[증정] 온라인강의 11월 판매가 50%할인권
194,32,[20% 할인쿠폰] React Native를 활용한 빠르고 완성도 높은 앱 개발 초격차 패키지 20% 할인 쿠폰
